,No,ExpNo,FileCode,PhotoCode,ExtractionType,ExpCode,DAI,Host,HostVariety,Treatment,Condition,Dilution,techRepNumber,isoRepNumber,sampleNumber,ExposureTreatment,chl,ES5_digital_WBonly_T_tuk
43,43,ES5,DSC_0196.sample1.clean.jpg,NA,Digital,ES5_15,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,isolateRep1,sample1,WB_only,81.8,17.51014117
44,44,ES5,DSC_0196.sample2.clean.jpg,NA,Digital,ES5_15,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,isolateRep1,sample2,WB_only,66.5,15.30502592
45,45,ES5,DSC_0196.sample3.clean.jpg,NA,Digital,ES5_15,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,isolateRep1,sample3,WB_only,83.6,17.75963682
46,46,ES5,DSC_0068.sample1.clean.jpg,NA,Digital,ES5_16,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,isolateRep1,sample1,WB_only,36,10.27061916
47,47,ES5,DSC_0068.sample2.clean.jpg,NA,Digital,ES5_16,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,isolateRep1,sample2,WB_only,39.4,10.89112002
48,48,ES5,DSC_0068.sample3.clean.jpg,NA,Digital,ES5_16,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,isolateRep1,sample3,WB_only,53.1,13.22243494
49,49,ES5,DSC_0658.sample1.clean.jpg,NA,Digital,ES5_17,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep2,isolateRep1,sample1,WB_only,85,17.95239113
50,50,ES5,DSC_0658.sample2.clean.jpg,NA,Digital,ES5_17,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep2,isolateRep1,sample2,WB_only,75.8,16.66421974
51,51,ES5,DSC_0658.sample3.clean.jpg,NA,Digital,ES5_17,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep2,isolateRep1,sample3,WB_only,57.6,13.94038006
52,52,ES5,DSC_0107.sample1.clean.jpg,NA,Digital,ES5_18,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep3,isolateRep1,sample1,WB_only,235.3,34.79799751
53,53,ES5,DSC_0107.sample2.clean.jpg,NA,Digital,ES5_18,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep3,isolateRep1,sample2,WB_only,252.9,36.46840247
54,54,ES5,DSC_0107.sample3.clean.jpg,NA,Digital,ES5_18,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep3,isolateRep1,sample3,WB_only,277.2,38.70932487
55,55,ES5,DSC_0220.sample1.clean.jpg,NA,Digital,ES5_19,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,isolateRep1,sample1,WB_only,49.9,12.69887811
56,56,ES5,DSC_0220.sample2.clean.jpg,NA,Digital,ES5_19,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,isolateRep1,sample2,WB_only,48,12.38245631
57,57,ES5,DSC_0220.sample3.clean.jpg,NA,Digital,ES5_19,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,isolateRep1,sample3,WB_only,84.5,17.88367879
58,58,ES5,NA,NA,Digital,ES5_20,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,isolateRep1,sample1,WB_only,NA,NA
59,59,ES5,NA,NA,Digital,ES5_20,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,isolateRep1,sample2,WB_only,NA,NA
60,60,ES5,NA,NA,Digital,ES5_20,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,isolateRep1,sample3,WB_only,NA,NA
61,61,ES5,DSC_0128.sample1.clean.jpg,NA,Digital,ES5_21,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,isolateRep1,sample1,WB_only,177.6,28.98263884
62,62,ES5,DSC_0128.sample2.clean.jpg,NA,Digital,ES5_21,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,isolateRep1,sample2,WB_only,204.8,31.79541289
63,63,ES5,DSC_0128.sample3.clean.jpg,NA,Digital,ES5_21,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,isolateRep1,sample3,WB_only,217.1,33.0239399
64,64,ES5,DSC_0235.sample1.clean.jpg,NA,Digital,ES5_22,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,isolateRep1,sample1,WB_only,164.2,27.54181453
65,65,ES5,DSC_0235.sample2.clean.jpg,NA,Digital,ES5_22,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,isolateRep1,sample2,WB_only,161.2,27.21368004
66,66,ES5,DSC_0235.sample3.clean.jpg,NA,Digital,ES5_22,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,isolateRep1,sample3,WB_only,128.6,23.49668689
67,67,ES5,DSC_0660.sample1.clean.jpg,NA,Digital,ES5_23,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,isolateRep1,sample1,WB_only,207.4,32.05720754
68,68,ES5,DSC_0660.sample2.clean.jpg,NA,Digital,ES5_23,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,isolateRep1,sample2,WB_only,228.7,34.16040469
69,69,ES5,DSC_0660.sample3.clean.jpg,NA,Digital,ES5_23,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,isolateRep1,sample3,WB_only,240.3,35.27686239
70,70,ES5,DSC_0070.sample1.clean.jpg,NA,Digital,ES5_24,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,isolateRep1,sample1,WB_only,97.2,19.58768324
71,71,ES5,DSC_0070.sample2.clean.jpg,NA,Digital,ES5_24,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,isolateRep1,sample2,WB_only,180,29.23661766
72,72,ES5,DSC_0070.sample3.clean.jpg,NA,Digital,ES5_24,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,isolateRep1,sample3,WB_only,189.6,30.24091423
73,73,ES5,DSC_0647.sample1.clean.jpg,NA,Digital,ES5_25,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep1,isolateRep1,sample1,WB_only,72.2,16.14541373
74,74,ES5,DSC_0647.sample2.clean.jpg,NA,Digital,ES5_25,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep1,isolateRep1,sample2,WB_only,106,20.72281798
75,75,ES5,DSC_0647.sample3.clean.jpg,NA,Digital,ES5_25,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep1,isolateRep1,sample3,WB_only,123.4,22.87467086
76,76,ES5,DSC_0049.sample1.clean.jpg,NA,Digital,ES5_26,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep2,isolateRep1,sample1,WB_only,99,19.82270311
77,77,ES5,DSC_0049.sample2.clean.jpg,NA,Digital,ES5_26,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep2,isolateRep1,sample2,WB_only,93.8,19.13955539
78,78,ES5,DSC_0049.sample3.clean.jpg,NA,Digital,ES5_26,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep2,isolateRep1,sample3,WB_only,119.6,22.41430446
79,79,ES5,DSC_0132.sample1.clean.jpg,NA,Digital,ES5_27,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep3,isolateRep1,sample1,WB_only,154,26.41730246
80,80,ES5,DSC_0132.sample2.clean.jpg,NA,Digital,ES5_27,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep3,isolateRep1,sample2,WB_only,190.5,30.33414351
81,81,ES5,DSC_0132.sample3.clean.jpg,NA,Digital,ES5_27,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep3,isolateRep1,sample3,WB_only,156.5,26.69527028
82,82,ES5,DSC_0645.sample1.clean.jpg,NA,Digital,ES5_28,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep1,isolateRep1,sample1,WB_only,185.2,29.78287636
83,83,ES5,DSC_0645.sample2.clean.jpg,NA,Digital,ES5_28,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep1,isolateRep1,sample2,WB_only,218,33.11286213
84,84,ES5,DSC_0645.sample3.clean.jpg,NA,Digital,ES5_28,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep1,isolateRep1,sample3,WB_only,234.4,34.71142514
85,85,ES5,DSC_0052.sample1.clean.jpg,NA,Digital,ES5_29,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep2,isolateRep1,sample1,WB_only,129.1,23.55602776
86,86,ES5,DSC_0052.sample2.clean.jpg,NA,Digital,ES5_29,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep2,isolateRep1,sample2,WB_only,59.2,14.19087287
87,87,ES5,DSC_0052.sample3.clean.jpg,NA,Digital,ES5_29,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep2,isolateRep1,sample3,WB_only,53.1,13.22243494
88,88,ES5,DSC_0093.sample1.clean.jpg,NA,Digital,ES5_30,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep3,isolateRep1,sample1,WB_only,131.2,23.80438648
89,89,ES5,DSC_0093.sample2.clean.jpg,NA,Digital,ES5_30,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep3,isolateRep1,sample2,WB_only,275.8,38.58213623
90,90,ES5,DSC_0093.sample3.clean.jpg,NA,Digital,ES5_30,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep3,isolateRep1,sample3,WB_only,296,40.39611614
91,91,ES5,DSC_0134.sample1.clean.jpg,NA,Digital,ES5_31,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep1,isolateRep1,sample1,WB_only,65,15.07973403
92,92,ES5,DSC_0134.sample2.clean.jpg,NA,Digital,ES5_31,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep1,isolateRep1,sample2,WB_only,38.7,10.76495273
93,93,ES5,DSC_0134.sample3.clean.jpg,NA,Digital,ES5_31,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep1,isolateRep1,sample3,WB_only,45.4,11.94225401
94,94,ES5,DSC_0643.sample1.clean.jpg,NA,Digital,ES5_32,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep2,isolateRep1,sample1,WB_only,56.2,13.71919424
95,95,ES5,DSC_0643.sample2.clean.jpg,NA,Digital,ES5_32,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep2,isolateRep1,sample2,WB_only,75.1,16.56402812
96,96,ES5,DSC_0643.sample3.clean.jpg,NA,Digital,ES5_32,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep2,isolateRep1,sample3,WB_only,117.6,22.16995232
97,97,ES5,DSC_0212.sample1.clean.jpg,NA,Digital,ES5_33,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep3,isolateRep1,sample1,WB_only,98.8,19.79666409
98,98,ES5,DSC_0212.sample2.clean.jpg,NA,Digital,ES5_33,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep3,isolateRep1,sample2,WB_only,66.1,15.24512356
99,99,ES5,DSC_0212.sample3.clean.jpg,NA,Digital,ES5_33,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep3,isolateRep1,sample3,WB_only,52.8,13.17382984
100,100,ES5,DSC_0631.sample1.clean.jpg,NA,Digital,ES5_34,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep1,isolateRep1,sample1,WB_only,143,25.17493885
101,101,ES5,DSC_0631.sample2.clean.jpg,NA,Digital,ES5_34,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep1,isolateRep1,sample2,WB_only,195.1,30.80826385
