"","No","ExpNo","ExtractionType","FileNumber","PhotoCode","NA.","ExpCode","Host","HostVariety","Treatment","Condition","Dilution","isolateRepNumber","techRep","ExpCode.1","ExposureTreatment","sampleNumber","chl","ES8_digital_WBonly_T_tuk"
"161",161,"ES8","Digital",199,"DSC_0368.ES8_161.sample1.WB_only.clean.jpg.chl.csv","DSC_0368","ES8_161","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep2_IsolateRep2","WB_only","sample1",33.489,3.41755696927464
"162",162,"ES8","Digital",316,"DSC_0446.ES8_162.sample1.WB_only.clean.jpg.chl.csv","DSC_0446","ES8_162","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep3_IsolateRep2","WB_only","sample1",41.08,3.67088392575647
"163",163,"ES8","Digital",532,"DSC_0599.ES8_163.sample1.WB_only.clean.jpg.chl.csv","DSC_0599","ES8_163","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep1_IsolateRep3","WB_only","sample1",77.264,4.5792253450992
"164",164,"ES8","Digital",226,"DSC_0386.ES8_164.sample1.WB_only.clean.jpg.chl.csv","DSC_0386","ES8_164","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep2_IsolateRep3","WB_only","sample1",40.019,3.63741774603481
"165",165,"ES8","Digital",232,"DSC_0389.ES8_165.sample1.WB_only.clean.jpg.chl.csv","DSC_0389","ES8_165","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep3_IsolateRep3","WB_only","sample1",57.817,4.13732315389404
"166",166,"ES8","Digital",541,"DSC_0605.ES8_166.sample1.WB_only.clean.jpg.chl.csv","DSC_0605","ES8_166","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep1_IsolateRep4","WB_only","sample1",60.96,4.21469095711316
"167",167,"ES8","Digital",340,"DSC_0466.ES8_167.sample1.WB_only.clean.jpg.chl.csv","DSC_0466","ES8_167","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep2_IsolateRep4","WB_only","sample1",89.64,4.82364842860419
"168",168,"ES8","Digital",85,"DSC_0058.ES8_168.sample1.WB_only.clean.jpg.chl.csv","DSC_0058","ES8_168","soybean","AG4632","DMCC2127","Stationary","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2127_Stationary_25fold_stemRep3_IsolateRep4","WB_only","sample1",51.876,3.98325645457204
"169",169,"ES8","Digital",361,"DSC_0480.ES8_169.sample1.WB_only.clean.jpg.chl.csv","DSC_0480","ES8_169","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep1_IsolateRep1","WB_only","sample1",20.799,2.89277635667593
"170",170,"ES8","Digital",382,"DSC_0495.ES8_170.sample1.WB_only.clean.jpg.chl.csv","DSC_0495","ES8_170","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep2_IsolateRep1","WB_only","sample1",16.751,2.68172511025242
"171",171,"ES8","Digital",70,"DSC_0048.ES8_171.sample1.WB_only.clean.jpg.chl.csv","DSC_0048","ES8_171","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep3_IsolateRep1","WB_only","sample1",25.787,3.11881983153401
"172",172,"ES8","Digital",466,"DSC_0552.ES8_172.sample1.WB_only.clean.jpg.chl.csv","DSC_0552","ES8_172","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep1_IsolateRep2","WB_only","sample1",15.364,2.60181554706061
"173",173,"ES8","Digital",82,"DSC_0056.ES8_173.sample1.WB_only.clean.jpg.chl.csv","DSC_0056","ES8_173","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep2_IsolateRep2","WB_only","sample1",18.825,2.79355511873755
"174",174,"ES8","Digital",172,"DSC_0116.ES8_174.sample1.WB_only.clean.jpg.chl.csv","DSC_0116","ES8_174","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep3_IsolateRep2","WB_only","sample1",66.82,4.3522843836434
"175",175,"ES8","Digital",292,"DSC_0430.ES8_175.sample1.WB_only.clean.jpg.chl.csv","DSC_0430","ES8_175","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep1_IsolateRep3","WB_only","sample1",276.291,7.15283749435458
"176",176,"ES8","Digital",112,"DSC_0076.ES8_176.sample1.WB_only.clean.jpg.chl.csv","DSC_0076","ES8_176","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep2_IsolateRep3","WB_only","sample1",22.906,2.99214227187304
"177",177,"ES8","Digital",505,"DSC_0581.ES8_177.sample1.WB_only.clean.jpg.chl.csv","DSC_0581","ES8_177","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep3_IsolateRep3","WB_only","sample1",15.533,2.61179670586371
"178",178,"ES8","Digital",487,"DSC_0568.ES8_178.sample1.WB_only.clean.jpg.chl.csv","DSC_0568","ES8_178","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep1_IsolateRep4","WB_only","sample1",25.17,3.09249584961118
"179",179,"ES8","Digital",151,"DSC_0102.ES8_179.sample1.WB_only.clean.jpg.chl.csv","DSC_0102","ES8_179","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep2_IsolateRep4","WB_only","sample1",31.011,3.32682931614582
"180",180,"ES8","Digital",145,"DSC_0098.ES8_180.sample1.WB_only.clean.jpg.chl.csv","DSC_0098","ES8_180","soybean","AG4632","DMCC2165","Stationary","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_100fold_stemRep3_IsolateRep4","WB_only","sample1",139.075,5.62518971473914
"181",181,"ES8","Digital",529,"DSC_0597.ES8_181.sample1.WB_only.clean.jpg.chl.csv","DSC_0597","ES8_181","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep1_IsolateRep1","WB_only","sample1",15.494,2.60949965077603
"182",182,"ES8","Digital",358,"DSC_0478.ES8_182.sample1.WB_only.clean.jpg.chl.csv","DSC_0478","ES8_182","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep2_IsolateRep1","WB_only","sample1",45.363,3.80054272225185
"183",183,"ES8","Digital",55,"DSC_0038.ES8_183.sample1.WB_only.clean.jpg.chl.csv","DSC_0038","ES8_183","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep3_IsolateRep1","WB_only","sample1",29.724,3.27783839786792
"184",184,"ES8","Digital",109,"DSC_0074.ES8_184.sample1.WB_only.clean.jpg.chl.csv","DSC_0074","ES8_184","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep1_IsolateRep2","WB_only","sample1",57.824,4.13749846639559
"185",185,"ES8","Digital",430,"DSC_0528.ES8_185.sample1.WB_only.clean.jpg.chl.csv","DSC_0528","ES8_185","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep2_IsolateRep2","WB_only","sample1",26.899,3.16524730162627
"186",186,"ES8","Digital",157,"DSC_0106.ES8_186.sample1.WB_only.clean.jpg.chl.csv","DSC_0106","ES8_186","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep3_IsolateRep2","WB_only","sample1",73.248,4.49447035117678
"187",187,"ES8","Digital",403,"DSC_0509.ES8_187.sample1.WB_only.clean.jpg.chl.csv","DSC_0509","ES8_187","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep1_IsolateRep3","WB_only","sample1",34.087,3.43879331036298
"188",188,"ES8","Digital",286,"DSC_0426.ES8_188.sample1.WB_only.clean.jpg.chl.csv","DSC_0426","ES8_188","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep2_IsolateRep3","WB_only","sample1",17.896,2.74450856136565
"189",189,"ES8","Digital",148,"DSC_0100.ES8_189.sample1.WB_only.clean.jpg.chl.csv","DSC_0100","ES8_189","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep3_IsolateRep3","WB_only","sample1",44.484,3.77460352571549
"190",190,"ES8","Digital",94,"DSC_0064.ES8_190.sample1.WB_only.clean.jpg.chl.csv","DSC_0064","ES8_190","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep1_IsolateRep4","WB_only","sample1",66.385,4.34234660580156
"191",191,"ES8","Digital",355,"DSC_0476.ES8_191.sample1.WB_only.clean.jpg.chl.csv","DSC_0476","ES8_191","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep2_IsolateRep4","WB_only","sample1",21.44,2.92367216716994
"192",192,"ES8","Digital",442,"DSC_0536.ES8_192.sample1.WB_only.clean.jpg.chl.csv","DSC_0536","ES8_192","soybean","AG4632","DMCC2165","Stationary","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2165_Stationary_25fold_stemRep3_IsolateRep4","WB_only","sample1",308.219,7.43191600201611
"193",193,"ES8","Digital",455,"DSC_0544.ES8_01.sample2.WB_only.clean.jpg.chl.csv","DSC_0544","ES8_01","soybean","AG4632","control","Shaking","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep1","WB_only","sample2",224.712,6.65379157476808
"194",194,"ES8","Digital",128,"DSC_0086.ES8_02.sample2.WB_only.clean.jpg.chl.csv","DSC_0086","ES8_02","soybean","AG4632","control","Shaking","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep1","WB_only","sample2",202.147,6.41185297248523
"195",195,"ES8","Digital",266,"DSC_0412.ES8_03.sample2.WB_only.clean.jpg.chl.csv","DSC_0412","ES8_03","soybean","AG4632","control","Shaking","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep1","WB_only","sample2",214.065,6.54170540997754
"196",196,"ES8","Digital",20,"DSC_0013.ES8_04.sample2.WB_only.clean.jpg.chl.csv","DSC_0013","ES8_04","soybean","AG4632","control","Shaking","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep2","WB_only","sample2",172.065,6.06027579238654
"197",197,"ES8","Digital",416,"DSC_0517.ES8_05.sample2.WB_only.clean.jpg.chl.csv","DSC_0517","ES8_05","soybean","AG4632","control","Shaking","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep2","WB_only","sample2",193.885,6.31888532468845
"198",198,"ES8","Digital",134,"DSC_0090.ES8_06.sample2.WB_only.clean.jpg.chl.csv","DSC_0090","ES8_06","soybean","AG4632","control","Shaking","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep2","WB_only","sample2",247.218,6.87983513321962
"199",199,"ES8","Digital",521,"DSC_0591.ES8_07.sample2.WB_only.clean.jpg.chl.csv","DSC_0591","ES8_07","soybean","AG4632","control","Shaking","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep3","WB_only","sample2",257.58,6.97941863375578
"200",200,"ES8","Digital",449,"DSC_0540.ES8_08.sample2.WB_only.clean.jpg.chl.csv","DSC_0540","ES8_08","soybean","AG4632","control","Shaking","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep3","WB_only","sample2",319.842,7.52882881117846
"201",201,"ES8","Digital",440,"DSC_0534.ES8_09.sample2.WB_only.clean.jpg.chl.csv","DSC_0534","ES8_09","soybean","AG4632","control","Shaking","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep3","WB_only","sample2",151.344,5.79412450088384
"202",202,"ES8","Digital",65,"DSC_0044.ES8_10.sample2.WB_only.clean.jpg.chl.csv","DSC_0044","ES8_10","soybean","AG4632","control","Shaking","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep4","WB_only","sample2",253.381,6.93938392998378
"203",203,"ES8","Digital",491,"DSC_0571.ES8_11.sample2.WB_only.clean.jpg.chl.csv","DSC_0571","ES8_11","soybean","AG4632","control","Shaking","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep4","WB_only","sample2",255.888,6.96333793026023
"204",204,"ES8","Digital",68,"DSC_0046.ES8_12.sample2.WB_only.clean.jpg.chl.csv","DSC_0046","ES8_12","soybean","AG4632","control","Shaking","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep4","WB_only","sample2",111.981,5.21435409166129
"205",205,"ES8","Digital",251,"DSC_0402.ES8_13.sample2.WB_only.clean.jpg.chl.csv","DSC_0402","ES8_13","soybean","AG4632","control","Shaking","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep1_IsolateRep1","WB_only","sample2",345.028,7.73123757934539
"206",206,"ES8","Digital",8,"DSC_0005.ES8_14.sample2.WB_only.clean.jpg.chl.csv","DSC_0005","ES8_14","soybean","AG4632","control","Shaking","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep1","WB_only","sample2",177.184,6.12277888243052
"207",207,"ES8","Digital",131,"DSC_0088.ES8_15.sample2.WB_only.clean.jpg.chl.csv","DSC_0088","ES8_15","soybean","AG4632","control","Shaking","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep1","WB_only","sample2",270.735,7.10216146167637
"208",208,"ES8","Digital",50,"DSC_0034.ES8_16.sample2.WB_only.clean.jpg.chl.csv","DSC_0034","ES8_16","soybean","AG4632","control","Shaking","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep1_IsolateRep2","WB_only","sample2",205.678,6.45083218666556
"209",209,"ES8","Digital",503,"DSC_0579.ES8_17.sample2.WB_only.clean.jpg.chl.csv","DSC_0579","ES8_17","soybean","AG4632","control","Shaking","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep2","WB_only","sample2",163.553,5.95361134328858
"210",210,"ES8","Digital",257,"DSC_0406.ES8_18.sample2.WB_only.clean.jpg.chl.csv","DSC_0406","ES8_18","soybean","AG4632","control","Shaking","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep2","WB_only","sample2",47.698,3.86789841338839
"211",211,"ES8","Digital",332,"DSC_0460.ES8_19.sample2.WB_only.clean.jpg.chl.csv","DSC_0460","ES8_19","soybean","AG4632","control","Shaking","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep1_IsolateRep3","WB_only","sample2",198.454,6.37060898676782
"212",212,"ES8","Digital",446,"DSC_0538.ES8_20.sample2.WB_only.clean.jpg.chl.csv","DSC_0538","ES8_20","soybean","AG4632","control","Shaking","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep3","WB_only","sample2",262.476,7.02556667360324
"213",213,"ES8","Digital",230,"DSC_0388.ES8_21.sample2.WB_only.clean.jpg.chl.csv","DSC_0388","ES8_21","soybean","AG4632","control","Shaking","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep3","WB_only","sample2",200.865,6.3975913260114
"214",214,"ES8","Digital",272,"DSC_0416.ES8_22.sample2.WB_only.clean.jpg.chl.csv","DSC_0416","ES8_22","soybean","AG4632","control","Shaking","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep1_IsolateRep4","WB_only","sample2",133.918,5.55128640352377
"215",215,"ES8","Digital",371,"DSC_0486.ES8_23.sample2.WB_only.clean.jpg.chl.csv","DSC_0486","ES8_23","soybean","AG4632","control","Shaking","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep4","WB_only","sample2",382.649,8.01641522049067
"216",216,"ES8","Digital",290,"DSC_0428.ES8_24.sample2.WB_only.clean.jpg.chl.csv","DSC_0428","ES8_24","soybean","AG4632","control","Shaking","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep4","WB_only","sample2",78.901,4.61295138449165
"217",217,"ES8","Digital",437,"DSC_0532.ES8_25.sample2.WB_only.clean.jpg.chl.csv","DSC_0532","ES8_25","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep1","WB_only","sample2",71.903,4.46541116344129
"218",218,"ES8","Digital",494,"DSC_0573.ES8_26.sample2.WB_only.clean.jpg.chl.csv","DSC_0573","ES8_26","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep1","WB_only","sample2",21.164,2.91044377269552
"219",219,"ES8","Digital",212,"DSC_0376.ES8_27.sample2.WB_only.clean.jpg.chl.csv","DSC_0376","ES8_27","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep1","WB_only","sample2",0,0
"220",220,"ES8","Digital",269,"DSC_0414.ES8_28.sample2.WB_only.clean.jpg.chl.csv","DSC_0414","ES8_28","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep2","WB_only","sample2",60.897,4.21316593795902
"221",221,"ES8","Digital",NA,NA,NA,"ES8_29","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep2",NA,"sample2",NA,NA
"222",222,"ES8","Digital",281,"DSC_0422.ES8_30.sample2.WB_only.clean.jpg.chl.csv","DSC_0422","ES8_30","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep2","WB_only","sample2",47.945,3.87489700156971
"223",223,"ES8","Digital",479,"DSC_0560.ES8_31.sample2.WB_only.clean.jpg.chl.csv","DSC_0560","ES8_31","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep3","WB_only","sample2",29.093,3.25331396511829
"224",224,"ES8","Digital",2,"DSC_0001.ES8_32.sample2.WB_only.clean.jpg.chl.csv","DSC_0001","ES8_32","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep3","WB_only","sample2",35.057,3.47273114505506
"225",225,"ES8","Digital",11,"DSC_0007.ES8_33.sample2.WB_only.clean.jpg.chl.csv","DSC_0007","ES8_33","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep3","WB_only","sample2",67.683,4.3718762473973
"226",226,"ES8","Digital",17,"DSC_0011.ES8_34.sample2.WB_only.clean.jpg.chl.csv","DSC_0011","ES8_34","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep4","WB_only","sample2",43.051,3.73159184529871
"227",227,"ES8","Digital",182,"DSC_0122.ES8_35.sample2.WB_only.clean.jpg.chl.csv","DSC_0122","ES8_35","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep4","WB_only","sample2",20.054,2.8560799057382
"228",228,"ES8","Digital",452,"DSC_0542.ES8_36.sample2.WB_only.clean.jpg.chl.csv","DSC_0542","ES8_36","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep4","WB_only","sample2",39.012,3.60511709645288
"229",229,"ES8","Digital",398,"DSC_0505.ES8_37.sample2.WB_only.clean.jpg.chl.csv","DSC_0505","ES8_37","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep1","WB_only","sample2",72.381,4.4757786737817
"230",230,"ES8","Digital",320,"DSC_0448.ES8_38.sample2.WB_only.clean.jpg.chl.csv","DSC_0448","ES8_38","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep1","WB_only","sample2",72.781,4.4844202648141
"231",231,"ES8","Digital",473,"DSC_0556.ES8_39.sample2.WB_only.clean.jpg.chl.csv","DSC_0556","ES8_39","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep1","WB_only","sample2",111.818,5.21169632166066
"232",232,"ES8","Digital",305,"DSC_0438.ES8_40.sample2.WB_only.clean.jpg.chl.csv","DSC_0438","ES8_40","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep2","WB_only","sample2",30.644,3.31299597905192
"233",233,"ES8","Digital",203,"DSC_0370.ES8_41.sample2.WB_only.clean.jpg.chl.csv","DSC_0370","ES8_41","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep2","WB_only","sample2",0,0
"234",234,"ES8","Digital",59,"DSC_0040.ES8_42.sample2.WB_only.clean.jpg.chl.csv","DSC_0040","ES8_42","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep2","WB_only","sample2",36.344,3.51683063052177
"235",235,"ES8","Digital",407,"DSC_0511.ES8_43.sample2.WB_only.clean.jpg.chl.csv","DSC_0511","ES8_43","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep3","WB_only","sample2",42.35,3.71021173858005
"236",236,"ES8","Digital",140,"DSC_0094.ES8_44.sample2.WB_only.clean.jpg.chl.csv","DSC_0094","ES8_44","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep3","WB_only","sample2",107.352,5.13787517633333
"237",237,"ES8","Digital",89,"DSC_0060.ES8_45.sample2.WB_only.clean.jpg.chl.csv","DSC_0060","ES8_45","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep3","WB_only","sample2",73.319,4.49599465794987
"238",238,"ES8","Digital",401,"DSC_0507.ES8_46.sample2.WB_only.clean.jpg.chl.csv","DSC_0507","ES8_46","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep4","WB_only","sample2",41.422,3.6815514360767
"239",239,"ES8","Digital",92,"DSC_0062.ES8_47.sample2.WB_only.clean.jpg.chl.csv","DSC_0062","ES8_47","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep4","WB_only","sample2",43.468,3.74420294417113
"240",240,"ES8","Digital",125,"DSC_0084.ES8_48.sample2.WB_only.clean.jpg.chl.csv","DSC_0084","ES8_48","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep4","WB_only","sample2",73.058,4.4903864908106
"241",241,"ES8","Digital",47,"DSC_0032.ES8_49.sample2.WB_only.clean.jpg.chl.csv","DSC_0032","ES8_49","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep1_IsolateRep1","WB_only","sample2",123.834,5.40124609708704
"242",242,"ES8","Digital",NA,NA,NA,"ES8_50","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep2_IsolateRep1",NA,"sample2",NA,NA
"243",243,"ES8","Digital",347,"DSC_0470.ES8_51.sample2.WB_only.clean.jpg.chl.csv","DSC_0470","ES8_51","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep3_IsolateRep1","WB_only","sample2",79.965,4.63462905082215
"244",244,"ES8","Digital",461,"DSC_0548.ES8_52.sample2.WB_only.clean.jpg.chl.csv","DSC_0548","ES8_52","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep1_IsolateRep2","WB_only","sample2",54.015,4.03998760952514
