"","No","ExpNo","ExtractionType","FileNumber","PhotoCode","NA.","ExpCode","Host","HostVariety","Treatment","Condition","Dilution","isolateRepNumber","techRep","ExpCode.1","ExposureTreatment","sampleNumber","chl","ES8_digital_WBonly_T_tuk"
"30",30,"ES8","Digital",280,"DSC_0422.ES8_30.sample1.WB_only.clean.jpg.chl.csv","DSC_0422","ES8_30","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep2","WB_only","sample1",57.67,4.13363839999434
"31",31,"ES8","Digital",478,"DSC_0560.ES8_31.sample1.WB_only.clean.jpg.chl.csv","DSC_0560","ES8_31","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep3","WB_only","sample1",26.66,3.15537551205002
"32",32,"ES8","Digital",1,"DSC_0001.ES8_32.sample1.WB_only.clean.jpg.chl.csv","DSC_0001","ES8_32","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep3","WB_only","sample1",23.439,3.0163287783358
"33",33,"ES8","Digital",10,"DSC_0007.ES8_33.sample1.WB_only.clean.jpg.chl.csv","DSC_0007","ES8_33","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep3","WB_only","sample1",35.278,3.48037775807549
"34",34,"ES8","Digital",16,"DSC_0011.ES8_34.sample1.WB_only.clean.jpg.chl.csv","DSC_0011","ES8_34","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep1_IsolateRep4","WB_only","sample1",22.225,2.96070147036113
"35",35,"ES8","Digital",181,"DSC_0122.ES8_35.sample1.WB_only.clean.jpg.chl.csv","DSC_0122","ES8_35","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep2_IsolateRep4","WB_only","sample1",27.119,3.17428403533165
"36",36,"ES8","Digital",451,"DSC_0542.ES8_36.sample1.WB_only.clean.jpg.chl.csv","DSC_0542","ES8_36","soybean","AG4632","DMCC2126","Shaking","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_100fold_stemRep3_IsolateRep4","WB_only","sample1",35.702,3.49496145973994
"37",37,"ES8","Digital",397,"DSC_0505.ES8_37.sample1.WB_only.clean.jpg.chl.csv","DSC_0505","ES8_37","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep1","WB_only","sample1",83.713,4.70952945063932
"38",38,"ES8","Digital",319,"DSC_0448.ES8_38.sample1.WB_only.clean.jpg.chl.csv","DSC_0448","ES8_38","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep1","WB_only","sample1",28.297,3.22187834741333
"39",39,"ES8","Digital",472,"DSC_0556.ES8_39.sample1.WB_only.clean.jpg.chl.csv","DSC_0556","ES8_39","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep1","WB_only","sample1",112.426,5.22159718693541
"40",40,"ES8","Digital",304,"DSC_0438.ES8_40.sample1.WB_only.clean.jpg.chl.csv","DSC_0438","ES8_40","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep2","WB_only","sample1",22.642,2.98002683654737
