No,FileNo,FileCode,PhotoCode,ExpCode,sampleNumber,Exposure,ExpNo,Treatment,Host,HostCultivar,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
51,97,DSC_0558.ES14B_51.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0558,ES14B_51,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep2,techRep3,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep2_techRep3,7.04,1,1,1,178.909
52,100,DSC_0559.ES14B_52.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0559,ES14B_52,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep3,techRep1,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep3_techRep1,7.09,1,1,1,196.502
53,169,DSC_0606.ES14B_53.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0606,ES14B_53,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep3,techRep2,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep3_techRep2,6.75,1,1,1,243.325
54,214,DSC_0635.ES14B_54.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0635,ES14B_54,sample1,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep3,techRep3,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep3_techRep3,7.14,1,1,1,226.219
55,151,DSC_0594.ES14B_55.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0594,ES14B_55,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep1,techRep1,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep1_techRep1,6.86,1,1,1,201.48
56,163,DSC_0602.ES14B_56.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0602,ES14B_56,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep1,techRep2,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep1_techRep2,6.18,1,1,1,205.438
57,106,DSC_0563.ES14B_57.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0563,ES14B_57,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep1,techRep3,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep1_techRep3,5.91,1,1,1,224.847
58,19,DSC_0506.ES14B_58.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0506,ES14B_58,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep2,techRep1,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep2_techRep1,5.32,1,1,1,162.59
59,43,DSC_0521.ES14B_59.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0521,ES14B_59,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep2,techRep2,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep2_techRep2,4.69,1,1,1,226.196
60,64,DSC_0535.ES14B_60.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0535,ES14B_60,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep2,techRep3,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep2_techRep3,5.15,1,1,1,200.789
61,178,DSC_0611.ES14B_61.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0611,ES14B_61,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep3,techRep1,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep3_techRep1,4.99,1,1,1,136.984
62,85,DSC_0550.ES14B_62.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0550,ES14B_62,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep3,techRep2,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep3_techRep2,4.97,1,1,1,270.895
63,91,DSC_0553.ES14B_63.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0553,ES14B_63,sample1,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep3,techRep3,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep3_techRep3,6.44,1,1,1,229.344
64,103,DSC_0561.ES14B_64.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0561,ES14B_64,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep1,techRep1,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep1_techRep1,6.21,1,1,1,183.486
65,37,DSC_0518.ES14B_65.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0518,ES14B_65,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep1,techRep2,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep1_techRep2,6.14,1,1,1,187.407
66,58,DSC_0531.ES14B_66.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0531,ES14B_66,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep1,techRep3,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep1_techRep3,6.25,1,1,1,233.933
67,88,DSC_0551.ES14B_67.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0551,ES14B_67,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep2,techRep1,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep2_techRep1,5.16,1,1,1,175.166
68,52,DSC_0527.ES14B_68.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0527,ES14B_68,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep2,techRep2,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep2_techRep2,6.27,1,1,1,156.687
69,70,DSC_0539.ES14B_69.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0539,ES14B_69,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep2,techRep3,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep2_techRep3,6.16,1,1,1,172.053
70,139,DSC_0585.ES14B_70.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0585,ES14B_70,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep3,techRep1,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep3_techRep1,5.91,1,1,1,149.449
71,175,DSC_0609.ES14B_71.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0609,ES14B_71,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep3,techRep2,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep3_techRep2,6.25,1,1,1,221.645
72,16,DSC_0504.ES14B_72.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0504,ES14B_72,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep3,techRep3,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep3_techRep3,5.82,1,1,1,180.06
73,167,DSC_0604.ES14B_01.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0604,ES14B_01,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep1,6.9,1,1,1,269.257
74,182,DSC_0613.ES14B_02.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0613,ES14B_02,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep2,5.66,1,1,1,262.653
75,50,DSC_0526.ES14B_03.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0526,ES14B_03,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep3,5.34,1,1,1,193.319
76,197,DSC_0623.ES14B_04.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0623,ES14B_04,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep1,6.54,1,1,1,239.008
77,212,DSC_0633.ES14B_05.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0633,ES14B_05,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep2,5.92,1,1,1,164.923
78,155,DSC_0595.ES14B_06.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0595,ES14B_06,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep3,6.92,1,1,1,160.066
