No,FileCode,PhotoCode,ExpCode,sampleNumber,ExpNo,Treatment,HostVariety,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
40,DSC_0505.ES13A_40.sample1.clean.jpg.chl.csv,DSC_0505,ES13A_40,sample1,ES13A,Control,DG47X95,100fold,isoRep2,techRep1,ES13A_Control_DG47X95_100fold_isoRep2_techRep1,7.56,1,1,1,233.027
41,DSC_0614.ES13A_41.sample1.clean.jpg.chl.csv,DSC_0614,ES13A_41,sample1,ES13A,Control,DG47X95,100fold,isoRep2,techRep2,ES13A_Control_DG47X95_100fold_isoRep2_techRep2,7.56,1,1,1,197.151
42,DSC_0518.ES13A_42.sample1.clean.jpg.chl.csv,DSC_0518,ES13A_42,sample1,ES13A,Control,DG47X95,100fold,isoRep2,techRep3,ES13A_Control_DG47X95_100fold_isoRep2_techRep3,7.62,1,1,1,204.455
43,DSC_0601.ES13A_43.sample1.clean.jpg.chl.csv,DSC_0601,ES13A_43,sample1,ES13A,Control,DG47X95,100fold,isoRep3,techRep1,ES13A_Control_DG47X95_100fold_isoRep3_techRep1,7.63,1,1,1,268.579
44,DSC_0595.ES13A_44.sample1.clean.jpg.chl.csv,DSC_0595,ES13A_44,sample1,ES13A,Control,DG47X95,100fold,isoRep3,techRep2,ES13A_Control_DG47X95_100fold_isoRep3_techRep2,7.54,1,1,1,235.328
45,DSC_0644.ES13A_45.sample1.clean.jpg.chl.csv,DSC_0644,ES13A_45,sample1,ES13A,Control,DG47X95,100fold,isoRep3,techRep3,ES13A_Control_DG47X95_100fold_isoRep3_techRep3,7.68,1,1,1,189.833
46,DSC_0637.ES13A_46.sample1.clean.jpg.chl.csv,DSC_0637,ES13A_46,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep1,techRep1,ES13A_DMCC2165_AG4632_100fold_isoRep1_techRep1,7.76,1,1,1,156.361
47,DSC_0567.ES13A_47.sample1.clean.jpg.chl.csv,DSC_0567,ES13A_47,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep1,techRep2,ES13A_DMCC2165_AG4632_100fold_isoRep1_techRep2,7.6,1,1,1,176.064
48,DSC_0661.ES13A_48.sample1.clean.jpg.chl.csv,DSC_0661,ES13A_48,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep1,techRep3,ES13A_DMCC2165_AG4632_100fold_isoRep1_techRep3,7.67,1,1,1,64.602
49,DSC_0630.ES13A_49.sample1.clean.jpg.chl.csv,DSC_0630,ES13A_49,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep2,techRep1,ES13A_DMCC2165_AG4632_100fold_isoRep2_techRep1,7.65,1,1,1,34.103
